harness,model,variant,experiment,n_runs,composition.alternative_approaches_considered__delta,composition.alternative_approaches_considered__delta_ci,composition.alternative_approaches_considered__ratio,composition.alternative_approaches_considered__n,composition.alternatives_implemented__delta,composition.alternatives_implemented__delta_ci,composition.alternatives_implemented__ratio,composition.alternatives_implemented__n,composition.planning__delta,composition.planning__delta_ci,composition.planning__ratio,composition.planning__n,composition.hypotheses_stated__delta,composition.hypotheses_stated__delta_ci,composition.hypotheses_stated__ratio,composition.hypotheses_stated__n,composition.hypotheses_grounded__delta,composition.hypotheses_grounded__delta_ci,composition.hypotheses_grounded__ratio,composition.hypotheses_grounded__n,composition.evidence_collection__delta,composition.evidence_collection__delta_ci,composition.evidence_collection__ratio,composition.evidence_collection__n,composition.error_diagnosis__delta,composition.error_diagnosis__delta_ci,composition.error_diagnosis__ratio,composition.error_diagnosis__n,composition.self_corrections__delta,composition.self_corrections__delta_ci,composition.self_corrections__ratio,composition.self_corrections__n,composition.final_validation__delta,composition.final_validation__delta_ci,composition.final_validation__ratio,composition.final_validation__n,composition.testing_verification__delta,composition.testing_verification__delta_ci,composition.testing_verification__ratio,composition.testing_verification__n,waste.unused_branches__delta,waste.unused_branches__delta_ci,waste.unused_branches__ratio,waste.unused_branches__n,waste.task_restatements__delta,waste.task_restatements__delta_ci,waste.task_restatements__ratio,waste.task_restatements__n,waste.redundant_verification__delta,waste.redundant_verification__delta_ci,waste.redundant_verification__ratio,waste.redundant_verification__n,waste.speculative_architecture__delta,waste.speculative_architecture__delta_ci,waste.speculative_architecture__ratio,waste.speculative_architecture__n,waste.post_solution_reasoning__delta,waste.post_solution_reasoning__delta_ci,waste.post_solution_reasoning__ratio,waste.post_solution_reasoning__n,waste.planning_without_implementation__delta,waste.planning_without_implementation__delta_ci,waste.planning_without_implementation__ratio,waste.planning_without_implementation__n,quality.factual_grounding__delta,quality.factual_grounding__delta_ci,quality.factual_grounding__ratio,quality.factual_grounding__n,quality.unsupported_assumptions__delta,quality.unsupported_assumptions__delta_ci,quality.unsupported_assumptions__ratio,quality.unsupported_assumptions__n,quality.reversals_without_new_evidence__delta,quality.reversals_without_new_evidence__delta_ci,quality.reversals_without_new_evidence__ratio,quality.reversals_without_new_evidence__n,quality.task_relevance__delta,quality.task_relevance__delta_ci,quality.task_relevance__ratio,quality.task_relevance__n,quality.uncertainty_calibration__delta,quality.uncertainty_calibration__delta_ci,quality.uncertainty_calibration__ratio,quality.uncertainty_calibration__n
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,pilot_b,3,0.0,"[0.000,0.000]",1.0,3,0.0,"[0.000,0.500]",2.0,3,1.0,"[0.000,2.000]",2.0,3,0.5,"[0.000,1.000]",2.0,3,0.5,"[0.000,1.000]",2.0,3,-0.5,"[-0.500,2.000]",0.667,3,0.0,"[-0.500,2.000]",1.0,3,0.0,"[0.000,0.000]",1.0,3,-1.0,"[-1.000,-0.500]",0.0,3,-0.5,"[-1.500,-0.500]",0.667,3,0.0,"[-0.500,0.000]",0.0,3,0.0,"[0.000,1.000]",1.0,3,1.0,"[1.000,1.500]",1.5,3,0.0,"[0.000,0.000]",,3,0.0,"[0.000,0.000]",,3,0.0,"[-0.500,0.000]",0.0,3,0.0,"[0.000,0.500]",1.0,3,-1.0,"[-1.000,1.500]",0.0,3,0.0,"[-0.500,0.000]",0.0,3,0.0,"[-1.000,0.000]",1.0,3,0.5,"[0.500,0.500]",1.333,3
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,screening_cc,12,0.0,"[-1.000,0.000]",0.0,12,0.0,"[-0.750,0.000]",0.0,12,0.0,"[0.000,2.500]",1.0,12,0.0,"[-1.500,0.750]",1.0,12,0.0,"[0.000,1.000]",1.0,12,0.25,"[-0.250,1.000]",1.167,12,0.0,"[-0.500,1.000]",0.5,12,0.0,"[-1.000,0.250]",0.0,12,-0.25,"[-0.500,0.000]",0.0,12,0.0,"[-1.000,1.500]",1.0,12,0.0,"[-0.500,0.000]",0.0,12,-0.25,"[-0.500,0.000]",0.0,12,1.5,"[-0.500,6.500]",2.5,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,-0.25,"[-0.500,0.000]",0.0,12,0.5,"[0.000,0.500]",1.2,12,0.0,"[-1.000,1.000]",0.0,12,-0.25,"[-0.750,0.000]",0.0,12,0.25,"[0.000,0.500]",1.1,12,0.0,"[0.000,0.000]",1.0,12
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,pilot_b,5,0.0,"[0.000,0.500]",1.5,4,0.25,"[0.000,0.500]",2.0,4,1.5,"[0.500,2.000]",2.25,4,1.0,"[1.000,1.000]",2.0,4,0.75,"[0.500,1.000]",2.0,4,-0.25,"[-1.000,0.500]",0.833,4,0.5,"[0.500,0.500]",1.5,4,0.5,"[0.500,0.500]",1.5,4,-0.25,"[-0.500,0.000]",0.5,4,-0.5,"[-0.500,1.500]",0.667,4,0.0,"[0.000,0.000]",1.0,4,1.0,"[0.500,1.000]",2.0,4,1.0,"[1.000,4.000]",1.5,4,0.0,"[0.000,0.500]",,4,0.0,"[0.000,0.000]",,4,-0.25,"[-0.500,0.500]",0.0,4,0.0,"[-1.000,0.000]",1.0,4,0.0,"[0.000,0.000]",1.0,4,0.25,"[0.000,0.500]",2.0,4,0.0,"[0.000,0.000]",1.0,4,-0.75,"[-1.500,0.500]",0.583,4
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,screening_cc,11,1.0,"[-1.000,1.000]",0.25,11,0.0,"[-0.500,0.000]",0.333,11,1.0,"[0.500,3.000]",2.0,11,0.0,"[0.000,0.500]",1.0,11,0.0,"[0.000,0.250]",1.0,11,0.5,"[-0.500,1.000]",1.0,11,0.0,"[0.000,0.500]",1.5,11,0.0,"[0.000,1.000]",1.0,11,0.5,"[0.500,1.000]",2.0,11,1.0,"[0.500,1.000]",1.5,11,0.0,"[-0.500,1.000]",0.0,11,0.0,"[-0.500,0.000]",1.0,11,0.5,"[0.000,0.500]",2.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,-0.5,"[-0.500,0.000]",0.0,11,0.5,"[-0.500,1.000]",1.2,11,0.0,"[-1.000,1.000]",0.0,11,0.0,"[-0.500,0.000]",0.0,11,0.5,"[0.000,0.500]",1.2,11,0.0,"[-1.000,0.000]",1.0,11
claude-code,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,pilot_b,5,0.0,"[0.000,0.500]",1.5,4,0.0,"[0.000,0.000]",1.0,4,0.0,"[0.000,1.000]",1.0,4,0.5,"[0.500,1.000]",2.0,4,0.5,"[0.500,0.500]",2.0,4,-0.75,"[-1.500,0.500]",0.5,4,-0.5,"[-0.500,0.000]",0.5,4,0.0,"[0.000,1.500]",2.5,4,0.25,"[-0.500,0.500]",1.5,4,1.0,"[0.000,5.500]",1.467,4,0.25,"[0.000,0.500]",2.0,4,0.5,"[0.000,0.500]",1.0,4,2.5,"[2.500,3.500]",2.75,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",1.0,4,1.0,"[0.000,1.000]",1.5,4,-0.5,"[-0.500,-0.500]",0.0,4,0.0,"[0.000,1.000]",3.0,4,0.0,"[0.000,0.000]",1.0,4,0.25,"[-1.000,0.500]",1.167,4
claude-code,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,screening_cc,11,0.0,"[-2.000,0.000]",0.0,11,0.0,"[-1.500,0.000]",0.0,11,0.0,"[-1.000,1.000]",1.0,11,0.0,"[-2.000,0.000]",0.0,11,0.0,"[0.000,0.000]",1.0,11,1.0,"[0.000,1.500]",2.0,11,0.0,"[-0.250,1.000]",0.5,11,0.0,"[-1.000,1.000]",0.0,11,0.0,"[-0.500,0.000]",0.0,11,0.0,"[-1.000,5.000]",1.0,11,0.0,"[-0.500,0.000]",0.0,11,-0.5,"[-1.000,0.500]",0.0,11,1.0,"[0.000,4.500]",2.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,-0.5,"[-0.500,0.000]",0.0,11,0.5,"[0.500,1.500]",1.2,11,-0.5,"[-1.000,0.000]",0.0,11,0.0,"[-1.000,0.000]",0.0,11,0.5,"[0.000,0.500]",1.2,11,0.0,"[-1.000,0.000]",1.0,11
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,pilot_b,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",1.333,2,1.5,"[1.500,1.500]",2.5,2,0.0,"[0.000,0.000]",1.0,2,1.5,"[1.500,1.500]",2.5,2,-3.5,"[-3.500,-3.500]",0.3,2,0.5,"[0.500,0.500]",2.0,2,0.0,"[0.000,0.000]",1.0,2,8.5,"[8.500,8.500]",4.4,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,14.5,"[14.500,14.500]",3.636,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-1.5,"[-1.500,-1.500]",0.5,2,1.5,"[1.500,1.500]",,2,0.0,"[0.000,0.000]",,2,-0.5,"[-0.500,-0.500]",0.833,2,-1.5,"[-1.500,-1.500]",0.4,2
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,screening_cc,9,0.0,"[-1.500,2.000]",0.0,7,0.0,"[-0.500,1.000]",0.0,7,-1.0,"[-10.000,2.500]",0.333,7,-3.0,"[-7.000,2.000]",0.0,7,0.0,"[-1.000,1.000]",0.0,7,-2.5,"[-4.000,1.000]",0.0,7,-2.5,"[-12.500,5.250]",0.0,7,0.0,"[-2.000,0.500]",0.0,7,0.0,"[-1.000,0.500]",0.5,7,1.0,"[-45.000,55.000]",0.1,7,0.0,"[-1.000,0.000]",0.0,7,0.0,"[0.000,0.000]",,7,-12.5,"[-38.000,50.000]",0.05,7,0.0,"[0.000,0.000]",,7,0.0,"[0.000,0.000]",,7,0.0,"[-4.000,0.000]",0.2,7,1.0,"[-0.500,2.000]",1.0,7,-1.0,"[-2.500,1.000]",0.0,7,0.0,"[-1.000,1.000]",0.0,7,0.0,"[-0.750,1.000]",1.0,7,0.0,"[-0.500,1.000]",1.0,7
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,pilot_b,2,0.5,"[0.500,0.500]",,2,0.5,"[0.500,0.500]",,2,2.0,"[2.000,2.000]",2.333,2,2.5,"[2.500,2.500]",3.5,2,0.0,"[0.000,0.000]",1.0,2,2.5,"[2.500,2.500]",3.5,2,-1.5,"[-1.500,-1.500]",0.7,2,0.5,"[0.500,0.500]",2.0,2,0.5,"[0.500,0.500]",1.5,2,27.0,"[27.000,27.000]",11.8,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",,2,23.0,"[23.000,23.000]",5.182,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-1.0,"[-1.000,-1.000]",0.667,2,2.5,"[2.500,2.500]",,2,0.0,"[0.000,0.000]",,2,-0.5,"[-0.500,-0.500]",0.833,2,-1.5,"[-1.500,-1.500]",0.4,2
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,screening_cc,10,0.0,"[0.000,0.500]",1.0,8,0.0,"[0.000,0.500]",1.0,8,-1.5,"[-10.000,1.000]",0.3,8,-3.25,"[-6.000,1.000]",0.222,8,0.0,"[-1.000,1.000]",0.75,8,-1.25,"[-2.500,7.000]",0.5,8,1.0,"[-4.500,6.000]",0.945,8,0.0,"[0.000,0.500]",1.0,8,0.0,"[-0.250,0.250]",0.75,8,11.5,"[-5.000,46.000]",1.55,8,0.0,"[-1.000,0.000]",0.75,8,0.5,"[0.000,1.000]",,8,9.5,"[-20.000,29.500]",0.875,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[-5.000,0.000]",0.0,8,0.0,"[-0.500,1.000]",1.0,8,0.0,"[-0.500,2.750]",1.0,8,0.0,"[0.000,0.500]",1.5,8,1.0,"[0.500,2.000]",1.5,8,0.0,"[-0.750,1.000]",0.9,8
claude-code,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,pilot_b,2,0.5,"[0.500,0.500]",,2,0.5,"[0.500,0.500]",,2,2.5,"[2.500,2.500]",2.667,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,3.5,"[3.500,3.500]",4.5,2,1.5,"[1.500,1.500]",1.3,2,7.0,"[7.000,7.000]",15.0,2,-0.5,"[-0.500,-0.500]",0.5,2,10.5,"[10.500,10.500]",5.2,2,0.0,"[0.000,0.000]",,2,1.0,"[1.000,1.000]",,2,9.5,"[9.500,9.500]",2.727,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-1.5,"[-1.500,-1.500]",0.5,2,8.0,"[8.000,8.000]",,2,7.5,"[7.500,7.500]",,2,0.0,"[0.000,0.000]",1.0,2,-1.0,"[-1.000,-1.000]",0.6,2
claude-code,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,screening_cc,10,0.0,"[-1.500,1.000]",1.0,9,0.0,"[-0.500,1.000]",0.0,9,0.0,"[-4.000,2.000]",0.667,9,-3.0,"[-4.000,1.000]",0.222,9,0.0,"[-0.500,1.000]",1.0,9,-1.5,"[-2.250,1.000]",0.4,9,-0.5,"[-12.500,6.000]",0.25,9,0.0,"[-2.000,2.000]",0.5,9,0.0,"[0.000,0.000]",0.75,9,-0.5,"[-12.000,51.000]",0.2,9,0.0,"[-1.000,0.000]",0.25,9,0.0,"[0.000,1.000]",,9,0.0,"[-11.750,50.000]",0.412,9,0.0,"[0.000,1.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[-5.000,0.000]",0.5,9,0.5,"[-1.000,1.000]",1.2,9,0.0,"[-2.500,5.000]",0.5,9,0.0,"[-1.000,3.000]",0.0,9,0.5,"[0.000,1.000]",1.2,9,0.0,"[-1.500,1.000]",1.0,9
claude-code,thinkingmachines/Inkling,bounded_efficiency,pilot_b,5,0.0,"[-1.000,0.500]",0.0,5,0.0,"[0.000,0.000]",,5,0.5,"[-2.000,2.000]",1.333,5,0.0,"[0.000,0.000]",1.0,5,0.0,"[0.000,0.000]",1.0,5,0.5,"[-1.000,0.500]",2.0,5,-1.0,"[-1.000,1.000]",0.2,5,0.0,"[-1.000,1.500]",1.0,5,0.0,"[0.000,0.000]",1.0,5,-2.0,"[-4.000,1.000]",0.333,5,0.0,"[-1.000,0.500]",0.0,5,0.0,"[0.000,0.500]",,5,0.0,"[-3.000,3.500]",1.0,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.000]",,5,0.0,"[-1.000,0.500]",0.0,5,1.0,"[-0.500,1.000]",1.5,5,-0.5,"[-1.000,1.500]",0.667,5,-0.5,"[-1.000,0.500]",0.0,5,0.0,"[0.000,0.000]",1.0,5,1.0,"[-1.000,1.500]",0.0,5
