harness,model,variant,features,n_runs,n_tasks,success_rate,baseline_success_rate,oos_rate,baseline_oos_rate,median_reasoning,median_excess_reasoning,median_reasoning_ratio,ratio_ci_low,ratio_ci_high,n_tasks_direction,median_tool_calls,median_repeated_ops,cost_per_success,nocache_cost_per_success,median_wall_s,classification
pi,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,deep_thinking_cue,32,16,0.75,0.938,0.0,0.0,643.0,223.25,1.675,0.915,2.23,12,6.0,0.0,0.02502,0.05123,28.105,harmful_overthinking
pi,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,exhaustive_exploration_cue,32,16,0.875,0.938,0.094,0.0,519.5,161.0,1.572,1.32,1.987,13,7.0,0.0,0.0221,0.06213,30.134999999999998,wasteful
pi,deepseek-ai/DeepSeek-V4-Pro,max_certainty,certainty_pressure,32,16,1.0,0.938,0.031,0.0,481.5,147.75,1.579,1.277,1.827,14,7.0,1.0,0.01952,0.03842,33.150000000000006,wasteful
pi,deepseek-ai/DeepSeek-V4-Pro,multiple_approaches,multiple_approaches_cue,32,16,1.0,0.938,0.031,0.0,1175.5,773.0,3.688,2.554,5.811,16,7.0,0.5,0.02758,0.04761,62.51,wasteful
pi,deepseek-ai/DeepSeek-V4-Pro,no_questions_autonomy,autonomy_cue,32,16,0.938,0.938,0.0,0.0,324.5,-13.5,0.942,0.786,1.235,6,6.0,0.0,0.01582,0.02919,23.365000000000002,neutral
pi,deepseek-ai/DeepSeek-V4-Pro,verbose_repetition,verbose;redundant,32,16,0.906,0.938,0.0,0.0,325.0,2.0,1.007,0.809,1.252,10,6.0,0.0,0.01378,0.02967,23.72,neutral
pi,moonshotai/Kimi-K2.6,adjacent_cleanup,scope_expansion_cue,32,16,0.969,1.0,0.156,0.0,1022.0,321.0,1.937,1.586,2.826,15,7.0,0.0,0.01848,0.03738,13.95,harmful_overthinking
pi,moonshotai/Kimi-K2.6,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.969,1.0,0.0,0.0,427.0,43.25,1.169,0.97,1.442,10,5.5,0.0,0.01188,0.025,7.6850000000000005,neutral
pi,moonshotai/Kimi-K2.6,deep_thinking,deep_thinking_cue,32,16,1.0,1.0,0.0,0.0,1105.5,593.0,2.692,1.999,3.49,15,7.0,1.0,0.02064,0.03879,12.805,wasteful
pi,moonshotai/Kimi-K2.6,exhaustive_exploration,exhaustive_exploration_cue,32,16,1.0,1.0,0.031,0.0,573.0,145.5,1.453,1.091,1.877,13,7.0,0.0,0.0207,0.05819,9.6,inconclusive
pi,moonshotai/Kimi-K2.6,max_certainty,certainty_pressure,32,16,0.969,1.0,0.0,0.0,488.0,155.5,1.433,1.175,2.048,14,8.0,1.0,0.01454,0.03188,12.765,inconclusive
pi,moonshotai/Kimi-K2.6,multiple_approaches,multiple_approaches_cue,32,16,1.0,1.0,0.0,0.0,2203.5,1640.0,5.614,3.684,7.153,16,7.0,0.0,0.02695,0.04657,21.515,wasteful
pi,moonshotai/Kimi-K2.6,no_questions_autonomy,autonomy_cue,32,16,0.938,1.0,0.0,0.0,289.5,-25.75,0.874,0.682,1.121,5,5.0,0.0,0.00893,0.01943,7.5,inconclusive
pi,moonshotai/Kimi-K2.6,verbose_repetition,verbose;redundant,32,16,0.969,1.0,0.0,0.0,466.5,-0.5,0.997,0.911,1.404,8,5.0,0.0,0.011,0.02165,8.969999999999999,neutral
pi,moonshotai/Kimi-K2.7-Code,adjacent_cleanup,scope_expansion_cue,32,16,1.0,0.969,0.156,0.0,432.0,156.0,1.666,0.995,2.424,12,6.0,0.0,0.0109,0.0211,9.265,harmful_overthinking
pi,moonshotai/Kimi-K2.7-Code,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.969,0.969,0.0,0.0,154.5,-39.5,0.761,0.552,1.103,6,5.0,0.0,0.00635,0.01275,6.67,neutral
pi,moonshotai/Kimi-K2.7-Code,deep_thinking,deep_thinking_cue,32,16,0.938,0.969,0.0,0.0,588.0,195.5,2.138,1.437,3.281,14,6.0,0.0,0.01195,0.02158,8.295,wasteful
pi,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,exhaustive_exploration_cue,32,16,0.969,0.969,0.0,0.0,331.5,79.0,1.37,0.898,1.754,12,7.0,0.0,0.01013,0.01957,7.845000000000001,inconclusive
pi,moonshotai/Kimi-K2.7-Code,max_certainty,certainty_pressure,32,16,0.906,0.969,0.031,0.0,300.0,57.5,1.225,0.752,2.155,8,8.0,1.0,0.01351,0.02687,8.775,inconclusive
pi,moonshotai/Kimi-K2.7-Code,multiple_approaches,multiple_approaches_cue,32,16,0.906,0.969,0.031,0.0,1108.5,763.5,3.869,2.189,6.064,14,6.5,0.0,0.01836,0.03091,16.685000000000002,wasteful
pi,moonshotai/Kimi-K2.7-Code,no_questions_autonomy,autonomy_cue,32,16,0.969,0.969,0.031,0.0,159.5,-44.0,0.857,0.591,0.913,4,5.5,0.0,0.00604,0.01264,7.140000000000001,neutral
pi,moonshotai/Kimi-K2.7-Code,verbose_repetition,verbose;redundant,32,16,0.938,0.969,0.0,0.0,218.5,-17.5,0.904,0.665,1.148,6,5.0,0.0,0.00607,0.01226,5.79,neutral
pi,nvidia/nemotron-3-ultra-550b-a55b,adjacent_cleanup,scope_expansion_cue,32,16,0.938,0.938,0.062,0.0,402.0,131.25,1.434,1.128,1.894,14,9.0,1.0,0.02961,0.03055,15.004999999999999,inconclusive
pi,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.938,0.938,0.031,0.0,285.0,22.0,1.076,0.929,1.431,9,6.0,0.0,0.01409,0.01409,10.765,neutral
pi,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,deep_thinking_cue,32,16,0.969,0.938,0.031,0.0,449.0,144.25,1.689,1.354,2.087,16,7.0,1.0,0.01677,0.01677,12.45,wasteful
pi,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,exhaustive_exploration_cue,32,16,0.969,0.938,0.031,0.0,355.5,99.75,1.374,1.151,1.539,13,8.0,0.0,0.01762,0.01762,11.68,inconclusive
pi,nvidia/nemotron-3-ultra-550b-a55b,max_certainty,certainty_pressure,32,16,0.938,0.938,0.0,0.0,386.5,135.0,1.577,1.203,1.948,14,8.0,1.0,0.0189,0.0189,11.71,wasteful
pi,nvidia/nemotron-3-ultra-550b-a55b,multiple_approaches,multiple_approaches_cue,32,16,0.938,0.938,0.0,0.0,936.0,614.5,3.748,2.756,4.297,16,7.0,1.0,0.02357,0.02357,16.775,wasteful
pi,nvidia/nemotron-3-ultra-550b-a55b,no_questions_autonomy,autonomy_cue,32,16,0.844,0.938,0.0,0.0,242.5,-28.25,0.911,0.759,1.274,8,6.0,0.0,0.01567,0.01567,9.495000000000001,inconclusive
pi,nvidia/nemotron-3-ultra-550b-a55b,verbose_repetition,verbose;redundant,32,16,0.906,0.938,0.0,0.0,267.0,17.25,1.114,0.884,1.223,9,5.0,0.0,0.01463,0.01463,9.565000000000001,neutral
pi,thinkingmachines/Inkling,adjacent_cleanup,scope_expansion_cue,32,16,0.969,0.938,0.0,0.0,182.5,110.0,2.509,2.047,3.502,16,9.5,1.0,0.0114,0.02834,13.5,wasteful
pi,thinkingmachines/Inkling,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.875,0.938,0.0,0.0,49.0,-1.25,0.961,0.643,1.35,7,5.0,0.0,0.00665,0.01671,6.550000000000001,inconclusive
pi,thinkingmachines/Inkling,deep_thinking,deep_thinking_cue,32,16,0.938,0.938,0.0,0.0,89.0,25.0,1.497,1.24,1.9,14,6.0,0.0,0.0101,0.02452,6.5,inconclusive
pi,thinkingmachines/Inkling,exhaustive_exploration,exhaustive_exploration_cue,32,16,0.969,0.938,0.0,0.0,88.5,24.25,1.533,1.04,1.709,12,7.5,0.0,0.00869,0.02079,7.404999999999999,inconclusive
pi,thinkingmachines/Inkling,max_certainty,certainty_pressure,32,16,0.938,0.938,0.031,0.0,62.5,10.75,1.252,0.925,1.519,9,8.0,1.0,0.00835,0.02051,8.445,inconclusive
pi,thinkingmachines/Inkling,multiple_approaches,multiple_approaches_cue,32,16,0.906,0.938,0.0,0.0,239.0,191.25,4.67,3.016,5.935,16,6.0,0.0,0.01081,0.02357,10.95,wasteful
pi,thinkingmachines/Inkling,no_questions_autonomy,autonomy_cue,32,16,0.906,0.938,0.0,0.0,49.5,-23.25,0.774,0.553,0.973,5,5.0,0.0,0.005,0.01231,5.145,neutral
pi,thinkingmachines/Inkling,verbose_repetition,verbose;redundant,32,16,0.906,0.938,0.0,0.0,47.0,-3.75,0.919,0.674,1.255,8,5.0,0.0,0.00581,0.01432,6.475,neutral
pi,zai-org/GLM-5.2,adjacent_cleanup,scope_expansion_cue,32,16,0.781,0.844,0.062,0.0,1305.5,809.75,2.217,1.382,6.041,13,6.5,0.0,0.0372,0.05894,39.075,wasteful
pi,zai-org/GLM-5.2,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.812,0.844,0.031,0.0,159.0,-75.5,0.727,0.433,0.99,5,5.0,0.0,0.01306,0.02379,11.68,neutral
pi,zai-org/GLM-5.2,deep_thinking,deep_thinking_cue,32,16,0.844,0.844,0.0,0.0,1026.5,437.25,2.592,1.74,3.743,14,7.0,1.0,0.03669,0.05245,48.629999999999995,wasteful
pi,zai-org/GLM-5.2,exhaustive_exploration,exhaustive_exploration_cue,32,16,0.781,0.844,0.031,0.0,655.5,210.5,1.6,1.053,3.523,11,8.0,0.5,0.03594,0.06363,27.305,inconclusive
pi,zai-org/GLM-5.2,max_certainty,certainty_pressure,32,16,0.812,0.844,0.0,0.0,711.5,236.75,2.15,0.963,4.638,11,8.5,1.0,0.03413,0.06077,19.744999999999997,inconclusive
pi,zai-org/GLM-5.2,multiple_approaches,multiple_approaches_cue,32,16,0.844,0.844,0.0,0.0,2053.0,1565.25,5.267,2.779,13.757,15,8.0,1.0,0.04589,0.07131,51.519999999999996,wasteful
pi,zai-org/GLM-5.2,no_questions_autonomy,autonomy_cue,32,16,0.875,0.844,0.0,0.0,217.5,-104.0,0.652,0.422,1.011,6,6.0,0.0,0.01437,0.02483,15.265,neutral
pi,zai-org/GLM-5.2,verbose_repetition,verbose;redundant,32,16,0.938,0.844,0.0,0.0,452.5,17.5,1.122,0.621,1.472,9,6.5,0.0,0.01495,0.02757,13.605,inconclusive
