run_id,turns,uncached_in,cache_read,cache_write,output,reported_usd,token_math_5m_usd,rel_diff_5m,implied_cache_write_rate_per_M,rel_diff_vs_intro_pricing
claude-code_claude-sonnet-5_js-med-03_adjacent_cleanup_r2_2d2d1d,9,18,276919,10650,1459,0.144952,0.144952,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_exhaustive_exploration_r1_b2b489,9,16,244182,10327,1011,0.127194,0.127194,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_exhaustive_exploration_r2_7e6c2b,9,16,243961,10351,1061,0.127968,0.127968,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_multiple_approaches_r1_aae6cf,7,14,213100,10579,1612,0.127823,0.127823,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_multiple_approaches_r2_2d323d,8,14,218368,11565,2548,0.147141,0.147141,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_baseline_r1_a943de,6,12,177600,9265,699,0.098545,0.098545,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_no_questions_autonomy_r1_710176,6,12,177836,9352,619,0.097742,0.097742,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_no_questions_autonomy_r2_05779f,6,12,177902,9348,660,0.098362,0.098362,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_multiple_approaches_r2_e47aa0,8,16,241677,10364,1576,0.135056,0.135056,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_deep_thinking_r2_e36d7a,5,10,145789,9035,525,0.085523,0.085523,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_verbose_repetition_r2_aacd44,5,10,146033,9107,485,0.085266,0.085266,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_exhaustive_exploration_r1_401017,10,14,211278,10109,1019,0.116619,0.116619,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_deep_thinking_r1_35499c,7,14,208215,9317,820,0.109745,0.109745,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_max_certainty_r2_beace3,16,32,503036,11530,3159,0.241629,0.241629,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_exhaustive_exploration_r2_ecfc4f,10,14,211041,10084,1014,0.116379,0.116379,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_max_certainty_r1_513a14,31,62,1045500,22892,8337,0.611073,0.524736,0.1413,7.52,0.4275
claude-code_claude-sonnet-5_py-low-01_baseline_r1_3edcbd,7,14,207710,9108,800,0.10851,0.10851,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_bounded_efficiency_r2_c01db3,5,10,145791,9031,457,0.084489,0.084489,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_no_questions_autonomy_r1_7948c2,6,12,176730,9089,550,0.095389,0.095389,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_bounded_efficiency_r1_2c4d9f,6,12,177036,9136,575,0.096032,0.096032,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_adjacent_cleanup_r2_d28857,9,18,272269,9933,965,0.133458,0.133458,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_baseline_r2_41709a,6,12,176523,9032,541,0.094978,0.094978,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_multiple_approaches_r1_ec38b4,9,18,276849,11094,2128,0.156631,0.156631,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_no_questions_autonomy_r2_fa7730,6,12,176734,9070,587,0.095874,0.095874,0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_adjacent_cleanup_r1_75f6e6,9,18,272241,9784,1007,0.133521,0.133521,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_py-low-01_verbose_repetition_r1_fd0d47,5,10,146060,9119,512,0.085724,0.085724,-0.0,3.75,0.3333
