harness,variant,model,provider,n_runs,n_tasks,median_output_ratio,ci_low,ci_high,n_tasks_ratio_gt1,median_reasoning_ratio_ref,scope_success,baseline_scope_success,median_tool_ratio,median_turn_ratio,cost_per_compliant_success,nocache_cost_per_compliant_success,baseline_median_nocache_cost,classification
claude-code,deep_thinking,deepseek-ai/DeepSeek-V4-Pro,together,6,3,1.831,1.513,2.735,3,2.022,0.833,0.833,1.402,1.362,0.13783,0.54824,0.32534,output_wasteful
claude-code,deep_thinking,moonshotai/Kimi-K2.6,together,6,3,0.948,0.787,4.534,1,0.921,0.833,0.667,0.611,0.538,0.1415,0.46605,0.31436,neutral_or_lower
claude-code,deep_thinking,moonshotai/Kimi-K2.7-Code,together,6,3,1.474,1.142,6.182,3,1.672,1.0,1.0,1.17,1.15,0.04664,0.15035,0.1102,elevated_unconfirmed
claude-code,deep_thinking,nvidia/nemotron-3-ultra-550b-a55b,together,5,3,2.368,1.098,3.512,2,2.596,0.4,0.75,2.53,2.463,1.08087,1.48688,0.36689,elevated_unconfirmed
claude-code,deep_thinking,zai-org/GLM-5.2,together,3,2,4.643,4.643,4.643,1,4.148,0.333,0.0,1.857,1.667,0.17225,0.37843,0.06759,elevated_unconfirmed
claude-code,exhaustive_exploration,claude-sonnet-5,anthropic,6,3,1.516,1.075,1.731,3,,1.0,1.0,1.636,1.538,0.12437,0.488,0.4112,elevated_unconfirmed
claude-code,exhaustive_exploration,deepseek-ai/DeepSeek-V4-Pro,together,6,3,1.121,0.729,2.022,2,0.881,0.833,0.833,1.057,1.053,0.11565,0.43088,0.32534,neutral
claude-code,exhaustive_exploration,moonshotai/Kimi-K2.6,together,6,3,4.174,0.31,7.234,2,5.209,1.0,0.667,1.722,1.678,0.20965,0.77139,0.31436,elevated_unconfirmed
claude-code,exhaustive_exploration,moonshotai/Kimi-K2.7-Code,together,6,3,1.723,1.155,2.289,3,0.802,1.0,1.0,1.965,1.838,0.05032,0.20114,0.1102,output_wasteful
claude-code,exhaustive_exploration,nvidia/nemotron-3-ultra-550b-a55b,together,5,3,2.512,1.309,4.043,2,2.549,0.6,0.75,2.616,2.202,0.77994,1.04854,0.36689,output_wasteful
claude-code,exhaustive_exploration,zai-org/GLM-5.2,together,5,3,1.416,1.416,1.416,1,0.63,0.2,0.0,3.0,2.556,0.24965,0.64057,0.06759,elevated_unconfirmed
claude-code,multiple_approaches,claude-sonnet-5,anthropic,6,3,2.522,1.728,3.475,3,,1.0,1.0,1.303,1.252,0.14613,0.53509,0.4112,output_wasteful
claude-code,max_certainty,claude-sonnet-5,anthropic,6,3,4.133,1.419,8.573,3,,1.0,1.0,2.919,2.594,0.27588,1.12198,0.4112,output_wasteful
claude-code,adjacent_cleanup,claude-sonnet-5,anthropic,6,3,1.582,1.288,2.175,3,,1.0,1.0,1.455,1.385,0.13784,0.56293,0.4112,output_wasteful
claude-code,no_questions_autonomy,claude-sonnet-5,anthropic,6,3,0.979,0.848,1.069,1,,1.0,1.0,1.01,1.007,0.10804,0.42587,0.4112,neutral
claude-code,no_questions_autonomy,deepseek-ai/DeepSeek-V4-Pro,together,6,3,1.248,1.248,2.854,3,0.912,0.667,0.833,1.571,1.522,0.21077,0.99954,0.32534,elevated_unconfirmed
claude-code,no_questions_autonomy,moonshotai/Kimi-K2.6,together,6,3,0.762,0.758,1.189,2,0.885,0.333,0.667,0.597,0.308,0.23217,0.96781,0.31436,neutral_or_lower
claude-code,no_questions_autonomy,moonshotai/Kimi-K2.7-Code,together,6,3,1.756,1.447,2.472,3,3.128,1.0,1.0,1.727,1.615,0.0567,0.22864,0.1102,output_wasteful
claude-code,no_questions_autonomy,nvidia/nemotron-3-ultra-550b-a55b,together,4,2,1.763,0.74,3.115,1,1.885,0.5,0.75,1.755,1.723,0.82731,1.10059,0.36689,elevated_unconfirmed
claude-code,no_questions_autonomy,zai-org/GLM-5.2,together,4,2,5.59,5.59,5.59,1,3.505,1.0,0.0,10.571,8.444,0.2564,0.97694,0.06759,elevated_unconfirmed
claude-code,bounded_efficiency,claude-sonnet-5,anthropic,6,3,0.933,0.77,1.126,1,,1.0,1.0,1.056,1.045,0.10786,0.42647,0.4112,neutral
claude-code,bounded_efficiency,deepseek-ai/DeepSeek-V4-Pro,together,6,3,0.966,0.776,1.587,1,0.927,0.833,0.833,0.976,0.978,0.10893,0.3972,0.32534,neutral
claude-code,bounded_efficiency,moonshotai/Kimi-K2.6,together,6,3,0.293,0.157,5.03,1,0.264,0.5,0.667,0.389,0.427,0.26079,1.01853,0.31436,neutral_or_lower
claude-code,bounded_efficiency,moonshotai/Kimi-K2.7-Code,together,6,3,1.68,0.794,5.102,2,1.573,0.833,1.0,1.778,1.667,0.06453,0.2353,0.1102,elevated_unconfirmed
claude-code,bounded_efficiency,nvidia/nemotron-3-ultra-550b-a55b,together,5,3,2.094,0.77,2.916,1,2.047,0.6,0.75,2.061,2.028,0.55651,0.75952,0.36689,elevated_unconfirmed
claude-code,bounded_efficiency,zai-org/GLM-5.2,together,5,3,2.066,2.066,2.066,1,0.551,0.8,0.0,14.286,11.222,0.32277,1.12821,0.06759,elevated_unconfirmed
