run_id,experiment,harness,model,task_id,variant,rep,wall_s,turns,reasoning_tokens,visible_output_tokens,logical_input_tokens,reported_cost_usd,estimated_no_cache_cost_usd,scope_compliant_success,tool_calls,failed_calls,error_recovery_calls,duplicate_commands,repeated_reads,post_green_repeat_tests,post_success_calls,abandoned_exploration_calls,distinct_files_read,tool_result_chars,est_tool_result_tokens,induced_cost_lower_usd,induced_cost_upper_usd,context_growth_tokens,tool_wall_s,n_calls_with_duration,cat_code_edit,cat_file_read,cat_file_search,cat_test_execution,cat_navigation,cat_other_bash,cat_git_inspect,cat_env_inspect,cat_other_tool,cat_lint_static,cat_build_compile
claude-code_Inkling_py-low-01_bounded_efficiency_r2_1f4353,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,bounded_efficiency,2,14.82,6,81,380,103156,0.047963,0.104695,True,5,3,2,1,0,0,0,0,1,518,130,0.000453,0.002033,404,0.09,5,1,1,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r1_0b33d5,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,1,8.86,6,443,896,15287,0.012398,0.012398,True,8,1,1,0,0,0,0,1,4,2059,515,0.000546,0.00102,1403,,0,1,4,1,2,0,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-01_exhaustive_exploration_r1_e20ae1,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,exhaustive_exploration,1,21.73,7,3318,3770,25539,0.025596,0.047612,True,7,1,1,0,1,0,0,2,2,4237,1059,0.001951,0.005348,4769,,0,1,3,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r3_969d80,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,3,17.9,7,348,765,16518,0.012665,0.012665,True,6,0,0,0,0,0,1,1,2,1044,261,0.000312,0.000624,1116,,0,1,2,1,1,0,1,0,0,0,0,0
claude-code_Inkling_py-low-01_deep_thinking_r2_62ceea,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,deep_thinking,2,10.81,6,195,454,103086,0.048299,0.104925,True,5,2,2,1,0,0,0,0,1,766,192,0.000536,0.002218,456,0.08,5,1,2,0,2,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r3_138829,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,3,5.26,5,148,441,10514,0.007896,0.007896,True,4,0,0,0,0,0,0,0,1,932,233,0.000215,0.000365,699,,0,1,1,1,1,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_no_questions_autonomy_r1_6770ed,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,no_questions_autonomy,1,7.74,6,129,403,103061,0.047111,0.104693,True,5,2,2,0,0,0,0,0,1,764,191,0.000535,0.002217,467,0.1,5,1,2,0,1,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_no_questions_autonomy_r2_12e053,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,no_questions_autonomy,2,23.26,20,286,1693,279877,0.064427,0.272655,True,19,15,14,12,0,0,0,1,2,1287,322,0.001848,0.008015,1845,0.42,19,1,2,1,11,0,4,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r1_095240,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,1,18.71,12,1147,2284,40949,0.032792,0.032792,True,11,1,1,0,0,0,1,1,3,2586,646,0.001158,0.002698,3250,,0,2,4,0,1,3,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r2_bb5b97,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,2,9.08,7,364,995,17085,0.013833,0.013833,True,6,0,0,0,0,0,1,1,2,1068,267,0.000316,0.000627,1340,,0,1,2,1,1,0,1,0,0,0,0,0
pi_Kimi-K2.6_js-high-01_exhaustive_exploration_r2_8aa101,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,exhaustive_exploration,2,17.34,9,2337,3128,33827,0.02766,0.054668,True,9,1,1,0,0,0,1,1,2,4759,1190,0.002718,0.009171,4635,,0,1,2,0,2,1,2,1,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r1_30a211,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,1,7.45,5,242,733,11690,0.009653,0.009653,True,5,0,0,0,0,0,0,1,2,1039,260,0.000247,0.000429,1030,,0,1,2,1,1,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_exhaustive_exploration_r2_7c1b4c,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,exhaustive_exploration,2,14.62,20,206,1169,263441,0.058877,0.254945,True,19,11,10,8,0,0,0,2,4,1564,391,0.002372,0.010377,1514,0.33,19,1,4,0,9,2,3,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_goal_only_r2_a84b5d,pilot_b,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,goal_only,2,49.0,15,803,2721,289924,0.101956,0.513937,True,14,9,8,0,0,0,0,0,1,1396,349,0.002531,0.01734,2417,0.25,14,7,3,0,0,0,4,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r2_0a1ed5,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,2,13.95,12,669,1650,36671,0.027943,0.027943,True,13,0,0,1,1,1,7,1,4,2429,607,0.001026,0.002349,2505,,0,1,6,1,2,1,2,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r2_245f91,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,2,6.66,5,139,471,10843,0.008201,0.008201,True,6,0,0,0,0,0,0,1,3,984,246,0.000221,0.000368,777,,0,1,3,1,1,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_exhaustive_exploration_r1_84e7d4,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,exhaustive_exploration,1,27.78,17,473,1134,304613,0.086952,0.309206,True,16,9,9,5,0,0,0,2,4,2662,666,0.005357,0.028265,1538,0.31,16,1,5,0,6,1,3,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_baseline_r2_42e8a0,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,baseline,2,11.72,7,806,1547,21585,0.01852,0.01852,True,9,0,0,0,0,0,1,1,3,2142,536,0.000711,0.00149,2378,,0,1,3,0,1,3,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_deep_thinking_r2_04167a,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,deep_thinking,2,13.95,14,543,1226,225393,0.051122,0.219027,True,13,8,8,6,0,0,0,1,2,1341,335,0.001251,0.004981,1109,0.26,13,1,3,0,7,1,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_goal_only_r1_b9f6df,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,goal_only,1,4.59,3,222,421,46696,0.012338,0.046045,True,2,0,0,0,0,0,0,0,1,428,107,0.00014,0.000294,269,0.03,2,1,1,0,0,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r1_6c1173,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,1,14.96,9,325,1104,23799,0.018254,0.018254,True,8,1,1,0,0,0,2,1,2,2117,529,0.000706,0.001484,1664,,0,2,3,0,1,1,1,0,0,0,0,0
claude-code_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r1_bb8bc7,pilot_b,claude-code,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,1,69.28,41,1156,3874,835485,0.396556,0.515237,True,40,34,33,26,1,0,0,2,3,2550,638,0.010353,0.030293,3765,0.58,40,1,5,0,14,1,19,0,0,0,0,0
pi_DeepSeek-V4-Pro_js-high-01_exhaustive_exploration_r3_27966f,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,exhaustive_exploration,3,77.52,6,2480,3459,26037,0.03211,0.057342,True,6,0,0,0,0,0,1,1,2,4101,1025,0.00237,0.00688,4744,,0,1,3,0,1,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_bounded_efficiency_r2_8fbfbc,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,bounded_efficiency,2,6.65,7,82,415,110811,0.025361,0.10693,True,6,4,3,3,0,0,0,0,1,548,137,0.000348,0.001221,509,0.12,6,1,1,0,4,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_exhaustive_exploration_r2_97143e,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,exhaustive_exploration,2,13.64,13,197,728,231815,0.072216,0.234763,True,12,6,6,2,0,0,0,1,3,2467,617,0.003951,0.02023,1354,0.24,12,1,4,0,4,0,3,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r3_d81401,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,3,8.02,5,165,660,11791,0.009451,0.009451,True,5,0,0,0,0,0,0,1,2,1235,309,0.000306,0.000547,1058,,0,1,2,0,1,1,0,0,0,0,0,0
claude-code_Kimi-K2.6_js-high-01_scoped_authorization_r1_71cb80,pilot_b,claude-code,moonshotai/Kimi-K2.6,js-high-01,scoped_authorization,1,77.6,41,6390,8557,696011,0.188728,0.87372,True,45,33,32,24,1,0,0,2,2,2836,709,0.012209,0.069002,3281,0.65,45,1,4,1,25,5,7,0,2,0,0,0
pi_Kimi-K2.6_js-high-01_deep_thinking_r2_81d911,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,deep_thinking,2,37.22,6,8498,9116,35856,0.058385,0.084049,True,6,0,0,0,0,0,1,1,2,2114,528,0.000837,0.001849,9305,,0,1,3,0,1,1,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_scoped_authorization_r2_497f55,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,scoped_authorization,2,5.67,6,53,371,94631,0.021828,0.091383,True,5,3,2,2,0,0,0,0,1,518,130,0.000279,0.000904,462,0.1,5,1,1,0,3,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_baseline_r1_2d9a77,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,baseline,1,18.75,10,494,1343,29852,0.022746,0.022746,True,11,2,2,0,0,0,1,2,4,2268,567,0.000924,0.00209,2220,,0,2,5,0,1,2,1,0,0,0,0,0
claude-code_Inkling_py-low-01_scoped_authorization_r1_d52c8d,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,scoped_authorization,1,8.48,7,175,486,120333,0.050589,0.122301,True,6,4,3,2,0,0,0,0,1,548,137,0.000551,0.002573,437,0.14,6,1,1,0,3,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r2_8dde47,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,2,9.69,6,304,924,14119,0.011798,0.011798,True,5,0,0,0,0,0,1,0,1,937,234,0.000262,0.000506,1104,,0,1,1,1,1,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_scoped_authorization_r1_105e35,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,scoped_authorization,1,10.89,6,331,670,94661,0.023101,0.092608,True,5,3,2,2,0,0,0,0,1,518,130,0.000328,0.00115,471,0.09,5,1,1,0,3,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_scoped_authorization_r2_c33b14,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,scoped_authorization,2,12.12,8,174,526,137817,0.053893,0.139947,True,7,4,4,2,0,0,0,0,1,826,206,0.00066,0.002871,555,0.11,7,1,2,0,3,0,1,0,0,0,0,0
claude-code_Kimi-K2.6_js-high-01_goal_only_r1_0d35f4,pilot_b,claude-code,moonshotai/Kimi-K2.6,js-high-01,goal_only,1,20.98,11,1963,2994,179386,0.0544,0.228736,True,10,5,5,1,2,0,0,0,2,1786,446,0.002494,0.012286,1385,0.12,10,2,5,0,3,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_deep_thinking_r1_22a457,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,deep_thinking,1,7.68,5,701,1053,78802,0.021484,0.079074,True,4,2,1,1,0,0,0,0,1,488,122,0.000298,0.001025,429,0.09,4,1,1,0,2,0,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-01_adjacent_cleanup_r1_d8ed51,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,adjacent_cleanup,1,20.49,6,3605,4290,23322,0.030331,0.047291,True,7,1,1,0,0,0,1,1,2,2739,685,0.001209,0.003145,5035,,0,1,3,0,2,1,0,0,0,0,0,0
pi_GLM-5.2_go-low-01_exhaustive_exploration_r2_923a2b,pilot_a,pi,zai-org/GLM-5.2,go-low-01,exhaustive_exploration,2,16.14,4,,0,0,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_baseline_r2_bd4821,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,baseline,2,9.31,7,214,546,120331,0.05083,0.122542,True,6,3,2,1,0,0,0,0,1,794,198,0.000675,0.003004,536,0.1,6,1,2,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r3_1d3acf,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,3,23.97,17,1078,3193,70546,0.053822,0.053822,False,20,2,2,1,1,2,5,1,4,3625,906,0.002305,0.005826,4156,,0,5,6,1,4,0,4,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_no_questions_autonomy_r1_49061d,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,no_questions_autonomy,1,6.51,6,171,516,94666,0.022441,0.091997,True,5,3,2,2,0,0,0,0,1,518,130,0.000314,0.001077,474,0.12,5,1,1,0,3,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_bounded_efficiency_r1_6eab10,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,bounded_efficiency,1,8.04,6,462,797,79382,0.020817,0.078601,True,5,1,0,0,0,0,0,1,2,885,221,0.000486,0.001588,572,0.14,5,1,2,1,1,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_deep_thinking_r1_f86b86,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,deep_thinking,1,8.75,6,241,536,103091,0.047786,0.105262,True,5,2,2,1,0,0,0,0,1,764,191,0.000535,0.002217,455,0.09,5,1,2,0,2,0,0,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_exhaustive_exploration_r1_3be4bb,pilot_b,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,exhaustive_exploration,1,65.67,14,639,2072,222182,0.085906,0.393807,True,13,5,4,0,0,0,0,2,4,3984,996,0.007345,0.050553,2900,0.19,13,4,6,0,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r2_6defc4,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,2,9.26,7,761,1425,18252,0.016081,0.016081,True,6,0,0,0,0,0,1,0,2,1105,276,0.00033,0.000658,1683,,0,1,2,1,1,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_exhaustive_exploration_r1_3aff39,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,exhaustive_exploration,1,5.22,8,82,594,79711,0.020414,0.078101,True,7,1,0,0,0,0,0,2,4,1083,271,0.000539,0.001668,778,0.14,7,1,4,1,1,0,0,0,0,0,0,0
claude-code_Inkling_py-low-01_baseline_r1_37d9a2,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,baseline,1,13.89,11,309,759,190051,0.063937,0.193125,True,10,7,7,4,0,0,0,0,1,916,229,0.001041,0.005007,709,0.2,10,1,2,0,5,0,2,0,0,0,0,0
pi_DeepSeek-V4-Pro_js-high-01_deep_thinking_r2_68ecd9,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,deep_thinking,2,60.24,6,1765,2859,20412,0.034033,0.045466,True,6,1,1,0,0,0,0,1,2,2510,628,0.001369,0.003505,3506,,0,1,2,0,2,1,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_baseline_r1_4f9c12,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,baseline,1,14.21,7,684,1176,111293,0.028425,0.110432,True,6,2,2,1,0,0,0,0,1,835,209,0.000463,0.001524,741,0.13,6,1,2,0,2,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r1_101e69,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,1,19.14,8,389,965,21109,0.016139,0.016139,True,8,1,1,0,0,0,1,1,3,2104,526,0.000698,0.001463,1577,,0,1,3,1,2,0,1,0,0,0,0,0
claude-code_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r2_7c1800,pilot_b,claude-code,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,2,70.32,41,1185,3863,835790,0.396699,0.515381,True,40,34,33,25,1,0,0,2,3,2548,637,0.010328,0.030219,3696,0.53,40,1,5,0,23,1,10,0,0,0,0,0
claude-code_Inkling_py-low-01_no_questions_autonomy_r2_d2b442,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,no_questions_autonomy,2,11.57,8,189,534,137812,0.053814,0.139975,True,7,4,4,2,0,0,0,0,1,824,206,0.000667,0.002919,555,0.12,7,1,2,0,3,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r3_62c2dc,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,3,13.96,8,714,1382,21757,0.018029,0.018029,True,7,0,0,0,0,0,1,1,3,1408,352,0.000457,0.000948,1824,,0,1,3,0,1,1,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_js-high-01_deep_thinking_r1_b534fb,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,js-high-01,deep_thinking,1,17.23,11,645,2609,187461,0.051748,0.188524,True,10,6,5,3,0,0,0,1,2,1516,379,0.001438,0.005748,2503,0.18,10,1,2,0,6,1,0,0,0,0,0,0
pi_GLM-5.2_js-med-03_baseline_r1_aeedaa,pilot_a,pi,zai-org/GLM-5.2,js-med-03,baseline,1,195.86,9,616,946,10697,0.014396,0.019138,True,5,0,0,0,0,0,0,1,2,1562,390,0.000801,0.001913,4638,,0,1,2,0,1,1,0,0,0,0,0,0
claude-code_Inkling_py-low-01_bounded_efficiency_r1_400e9a,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,bounded_efficiency,1,11.09,9,301,666,139077,0.055082,0.141774,True,8,4,4,0,0,0,0,0,1,1126,282,0.001107,0.005136,700,0.17,8,1,2,0,3,1,1,0,0,0,0,0
claude-code_Inkling_py-low-01_goal_only_r2_c3c727,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,goal_only,2,6.39,5,103,278,85242,0.043447,0.086368,True,3,0,0,0,0,0,0,0,1,704,176,0.000331,0.001088,370,0.05,3,1,2,0,0,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_baseline_r3_c5d0e8,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,baseline,3,11.89,8,563,1311,22525,0.018235,0.018235,True,9,1,1,0,0,0,1,1,3,1656,414,0.00057,0.001213,1828,,0,2,4,1,1,0,1,0,0,0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_no_questions_autonomy_r1_7a850d,pilot_b,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,no_questions_autonomy,1,49.68,16,827,2530,272547,0.095893,0.483036,True,15,10,9,0,0,0,0,1,2,1820,455,0.003421,0.023667,2115,0.29,15,2,3,1,4,0,4,0,0,1,0,0
claude-code_Inkling_py-low-01_goal_only_r1_fe0169,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,goal_only,1,7.19,5,93,247,85222,0.043089,0.086222,True,3,0,0,0,0,0,0,0,1,685,171,0.000326,0.001083,350,0.19,3,1,2,0,0,0,0,0,0,0,0,0
