run_id,experiment,harness,model,task_id,variant,rep,reasoning_tokens,visible_output_tokens,turns,tool_total_tool_calls,tool_duplicate_reads,tool_repeated_searches,tool_repeated_tests_no_change,edits_reverted,scope_compliant_success,reported_cost_usd,estimated_no_cache_cost_usd,turns_parsed,thinking_chars,visible_chars,tool_calls_parsed,tool_calls_before_first_edit,thinking_chars_before_first_edit,first_green_test_found,tool_calls_after_first_green,test_runs_total,test_runs_after_first_green,postgreen_chars,distinct_files_read,files_read_not_edited,task_restatement_index,redundancy_compression_ratio,plan_markers_per_1k,alt_markers_per_1k,alt_markers_total,plan_markers_total
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r3_053917,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,3,209,504,5,5,0,0,0,[],True,0.0085,0.0085,5,795,325,5,3,580,True,0,1,0,150,2,1,0.0,0.5157,0.0,0.0,0,0
pi_Kimi-K2.6_js-high-01_baseline_r3_717af0,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,baseline,3,3415,4281,7,7,1,0,0,[],True,0.031005,0.051933,7,14982,937,7,3,220,False,,1,,,2,1,0.3056,0.7152,1.001,0.2,3,15
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r2_a7c743,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,2,565,1245,7,9,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.016291,0.016291,7,1640,624,9,6,1234,True,1,2,0,437,4,3,0.0741,0.5546,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r2_13958a,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,2,178,368,4,3,0,0,0,[],True,0.006109,0.006109,4,670,145,3,1,239,True,0,1,0,257,1,0,0.0,0.491,0.0,0.0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_goal_only_r2_5eba9d,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,goal_only,2,255,445,4,2,0,0,0,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.016482,0.061036,11,1088,332,2,1,371,False,,0,,,1,0,0.0,0.546,0.0,1.838,2,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r2_d98bba,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,2,356,922,6,7,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.012301,0.012301,6,1165,502,7,4,370,True,1,1,0,446,3,2,0.0,0.5184,0.0,0.858,1,0
claude-code_Kimi-K2.7-Code_py-low-01_baseline_r2_29c87e,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,baseline,2,60,351,4,3,0,0,0,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.015508,0.061035,9,233,546,3,1,233,False,,1,,,1,0,0.0,,0.0,0.0,0,0
claude-code_Inkling_py-low-01_bounded_efficiency_r2_1f4353,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,bounded_efficiency,2,81,380,6,5,0,0,1,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.047963,0.104695,21,385,242,5,1,78,False,,2,,,1,0,0.0,,0.0,2.597,1,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r1_0b33d5,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,1,443,896,6,8,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.012398,0.012398,6,1268,172,8,6,730,True,0,2,0,424,4,3,0.0,0.5314,0.0,0.0,0,0
pi_Kimi-K2.6_js-high-01_exhaustive_exploration_r1_e20ae1,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,exhaustive_exploration,1,3318,3770,7,7,0,0,0,[],True,0.025596,0.047612,7,14812,567,7,5,10533,False,,2,,,2,1,1.0,0.6901,0.0,0.135,2,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r3_969d80,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,3,348,765,7,6,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.012665,0.012665,7,1273,349,6,3,644,True,1,1,0,356,2,1,0.0,0.5884,0.0,0.786,1,0
claude-code_Inkling_py-low-01_deep_thinking_r2_62ceea,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,deep_thinking,2,195,454,6,5,1,0,1,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.048299,0.104925,21,812,138,5,1,168,False,,2,,,1,0,0.0,0.4544,0.0,1.232,1,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r3_138829,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,3,148,441,5,4,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.007896,0.007896,5,603,179,4,2,379,True,0,1,0,214,1,0,0.0,0.5141,0.0,0.0,0,0
claude-code_Inkling_py-low-01_no_questions_autonomy_r1_6770ed,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,no_questions_autonomy,1,129,403,6,5,1,0,0,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.047111,0.104693,21,593,156,5,1,72,False,,1,,,1,0,0.0,0.4216,0.0,3.373,2,0
claude-code_Kimi-K2.7-Code_py-low-01_no_questions_autonomy_r2_12e053,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,no_questions_autonomy,2,286,1693,20,19,0,0,9,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.064427,0.272655,38,1278,2324,19,3,459,False,,11,,,2,1,0.0526,0.493,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r1_095240,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,1,1147,2284,12,11,1,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.032792,0.032792,12,3495,1139,11,6,784,True,1,1,0,666,3,2,0.0741,0.6382,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r2_bb5b97,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,2,364,995,7,6,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.013833,0.013833,7,1297,385,6,3,630,True,1,1,0,425,2,1,0.3684,0.6014,0.0,0.0,0,0
pi_Kimi-K2.6_js-high-01_exhaustive_exploration_r2_8aa101,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,exhaustive_exploration,2,2337,3128,9,9,0,0,0,[],True,0.02766,0.054668,9,9845,688,9,6,4229,False,,2,,,2,1,1.0,0.6761,0.508,0.102,1,5
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r1_30a211,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,1,242,733,5,5,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.009653,0.009653,5,856,206,5,3,412,True,0,1,0,241,2,1,0.0,0.5129,0.0,1.168,1,0
claude-code_Kimi-K2.7-Code_py-low-01_exhaustive_exploration_r2_7c1b4c,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,exhaustive_exploration,2,206,1169,20,19,0,0,8,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.058877,0.254945,41,841,646,19,5,751,False,,9,,,4,3,0.0526,0.5054,0.0,0.0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_goal_only_r2_a84b5d,pilot_b,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,goal_only,2,803,2721,15,14,1,0,0,['tmp/pi-prompt-benchmark/slot-cc-01/shop/discount.py'],True,0.101956,0.513937,48,2774,497,14,1,394,False,,0,,,1,0,0.1053,0.6071,0.0,1.802,5,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r2_0a1ed5,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,2,669,1650,12,13,2,0,1,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.027943,0.027943,12,2315,652,13,4,273,True,7,2,1,1898,4,3,0.037,0.5824,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r2_245f91,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,2,139,471,5,6,0,0,0,[],True,0.008201,0.008201,5,554,281,6,4,178,True,0,1,0,124,3,2,0.0,0.4711,0.0,0.0,0,0
claude-code_Inkling_py-low-01_exhaustive_exploration_r1_84e7d4,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,exhaustive_exploration,1,473,1134,17,16,1,0,4,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.086952,0.309206,59,2133,341,16,6,251,False,,6,,,4,3,0.0,0.5747,0.0,0.938,2,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_baseline_r2_42e8a0,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,baseline,2,806,1547,7,9,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.01852,0.01852,7,2220,485,9,6,738,True,1,1,0,514,3,2,0.0741,0.6096,0.0,0.0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_deep_thinking_r2_04167a,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,deep_thinking,2,543,1226,14,13,1,0,6,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.051122,0.219027,31,2242,486,13,1,740,False,,7,,,2,1,0.0,0.554,0.0,0.446,1,0
claude-code_Kimi-K2.7-Code_py-low-01_goal_only_r1_b9f6df,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,goal_only,1,222,421,3,2,0,0,0,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.012338,0.046045,8,920,357,2,1,919,False,,0,,,1,0,0.2105,0.4511,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r1_6c1173,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,1,325,1104,9,8,1,0,0,[],True,0.018254,0.018254,9,1314,447,8,3,414,True,2,1,0,1078,2,1,0.0,0.554,0.0,0.0,0,0
claude-code_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r1_bb8bc7,pilot_b,claude-code,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,1,1156,3874,41,40,2,0,11,['tmp/pi-prompt-benchmark/slot-cc-04/shop/discount.py'],True,0.396556,0.515237,121,4711,248,40,4,1026,False,,14,,,3,2,0.0,0.7192,0.0,4.033,19,0
pi_DeepSeek-V4-Pro_js-high-01_exhaustive_exploration_r3_27966f,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,exhaustive_exploration,3,2480,3459,6,6,1,0,0,['tmp/pi-prompt-benchmark/slot-03/src/fetchCache.js'],True,0.03211,0.057342,6,10360,1433,6,3,159,False,,1,,,2,1,0.0,0.6875,0.965,0.29,3,10
claude-code_Kimi-K2.7-Code_py-low-01_bounded_efficiency_r2_8fbfbc,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,bounded_efficiency,2,82,415,7,6,0,0,3,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.025361,0.10693,15,300,180,6,1,299,False,,4,,,1,0,0.0,,0.0,3.333,1,0
claude-code_Inkling_py-low-01_exhaustive_exploration_r2_97143e,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,exhaustive_exploration,2,197,728,13,12,1,0,1,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.072216,0.234763,45,933,300,12,4,78,False,,4,,,3,2,0.0,0.477,0.0,1.072,1,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r3_d81401,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,3,165,660,5,5,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.009451,0.009451,5,666,217,5,3,201,True,0,1,0,354,2,1,0.0,0.5135,0.0,1.502,1,0
claude-code_Kimi-K2.6_js-high-01_scoped_authorization_r1_71cb80,pilot_b,claude-code,moonshotai/Kimi-K2.6,js-high-01,scoped_authorization,1,6390,8557,41,45,1,0,19,['tmp/pi-prompt-benchmark/slot-cc-02/src/fetchCache.js'],True,0.188728,0.87372,123,28683,0,45,5,13524,False,,25,,,2,1,0.9167,0.7173,0.349,0.593,17,10
pi_Kimi-K2.6_js-high-01_deep_thinking_r2_81d911,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,deep_thinking,2,8498,9116,6,6,1,0,0,[],True,0.058385,0.084049,6,36252,1141,6,3,540,False,,1,,,2,1,0.7778,0.7304,1.655,0.221,8,60
claude-code_Kimi-K2.7-Code_py-low-01_scoped_authorization_r2_497f55,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,scoped_authorization,2,53,371,6,5,0,0,2,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.021828,0.091383,12,264,286,5,1,264,False,,3,,,1,0,0.0,,0.0,3.788,1,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_baseline_r1_2d9a77,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,baseline,1,494,1343,10,11,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.022746,0.022746,10,1634,486,11,6,539,True,1,1,0,478,4,3,0.0741,0.5495,0.0,0.612,1,0
claude-code_Inkling_py-low-01_scoped_authorization_r1_d52c8d,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,scoped_authorization,1,175,486,7,6,0,0,2,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.050589,0.122301,25,757,220,6,1,89,False,,3,,,1,0,0.0,0.4676,0.0,2.642,2,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_adjacent_cleanup_r2_8dde47,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,adjacent_cleanup,2,304,924,6,5,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.011798,0.011798,6,1117,318,5,2,373,True,1,1,0,774,1,0,0.0,0.5354,0.0,0.895,1,0
claude-code_Kimi-K2.7-Code_py-low-01_scoped_authorization_r1_105e35,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,scoped_authorization,1,331,670,6,5,0,0,2,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.023101,0.092608,14,1527,326,5,1,126,False,,3,,,1,0,0.0,0.5455,0.0,0.655,1,0
claude-code_Inkling_py-low-01_scoped_authorization_r2_c33b14,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,scoped_authorization,2,174,526,8,7,1,0,2,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.053893,0.139947,25,814,273,7,1,68,False,,3,,,1,0,0.0,0.4656,0.0,1.229,1,0
claude-code_Kimi-K2.6_js-high-01_goal_only_r1_0d35f4,pilot_b,claude-code,moonshotai/Kimi-K2.6,js-high-01,goal_only,1,1963,2994,11,10,3,0,1,"['tmp/pi-prompt-benchmark/slot-cc-02/src/fetchCache.js', 'tmp/pi-prompt-benchmark/slot-cc-02/test/fetchCache.test.js']",True,0.0544,0.228736,36,8468,1540,10,1,7241,False,,3,,,2,0,1.0,0.6453,0.0,0.354,3,0
claude-code_Kimi-K2.7-Code_py-low-01_deep_thinking_r1_22a457,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,deep_thinking,1,701,1053,5,4,0,0,1,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.021484,0.079074,14,3015,614,4,1,2224,False,,2,,,1,0,0.0,0.5695,0.332,0.332,1,1
pi_Kimi-K2.6_js-high-01_adjacent_cleanup_r1_d8ed51,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,adjacent_cleanup,1,3605,4290,6,7,0,0,0,[],True,0.030331,0.047291,6,15852,697,7,4,214,False,,2,,,2,1,0.2778,0.6932,0.0,0.315,5,0
pi_GLM-5.2_go-low-01_exhaustive_exploration_r2_923a2b,pilot_a,pi,zai-org/GLM-5.2,go-low-01,exhaustive_exploration,2,,0,4,0,0,0,0,[],False,0,0.0,4,0,0,0,0,0,False,,0,,,0,0,0.0,,0.0,0.0,0,0
claude-code_Inkling_py-low-01_baseline_r2_bd4821,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,baseline,2,214,546,7,6,1,0,1,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.05083,0.122542,25,1001,163,6,1,91,False,,2,,,1,0,0.0,0.5035,0.0,1.998,2,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r3_1d3acf,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,3,1078,3193,17,20,2,0,1,"['tmp/pi-prompt-benchmark/slot-04/cart/__init__.py', 'tmp/pi-prompt-benchmark/slot-04/cart/checkout.py', 'tmp/pi-prompt-benchmark/slot-04/cart/pricing.py']",False,0.053822,0.053822,17,3709,734,20,5,1507,True,13,4,2,2733,4,1,0.0741,0.6205,0.0,0.0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_no_questions_autonomy_r1_49061d,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,no_questions_autonomy,1,171,516,6,5,0,0,2,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.022441,0.091997,14,741,419,5,1,273,False,,3,,,1,0,0.0,0.4602,0.0,1.35,1,0
claude-code_Kimi-K2.7-Code_py-low-01_bounded_efficiency_r1_6eab10,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,bounded_efficiency,1,462,797,6,5,0,0,0,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.020817,0.078601,14,2186,410,5,3,907,False,,1,,,2,1,1.0,0.5558,0.0,0.0,0,0
claude-code_Inkling_py-low-01_deep_thinking_r1_f86b86,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,deep_thinking,1,241,536,6,5,1,0,1,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.047786,0.105262,23,980,297,5,1,228,False,,2,,,1,0,0.0,0.4704,0.0,0.0,0,0
claude-code_DeepSeek-V4-Pro_py-low-01_exhaustive_exploration_r1_3be4bb,pilot_b,claude-code,deepseek-ai/DeepSeek-V4-Pro,py-low-01,exhaustive_exploration,1,639,2072,14,13,1,0,0,['tmp/pi-prompt-benchmark/slot-cc-01/shop/discount.py'],True,0.085906,0.393807,38,2297,909,13,6,1152,False,,2,,,4,3,0.0,0.6063,0.0,0.435,1,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r2_6defc4,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,2,761,1425,7,6,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.016081,0.016081,7,2262,657,6,3,1469,True,1,1,0,749,2,1,0.0741,0.6406,0.0,0.442,1,0
claude-code_Kimi-K2.7-Code_py-low-01_exhaustive_exploration_r1_3aff39,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,exhaustive_exploration,1,82,594,8,7,0,0,0,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.020414,0.078101,13,390,801,7,5,390,False,,1,,,4,3,0.0,,0.0,0.0,0,0
claude-code_Inkling_py-low-01_baseline_r1_37d9a2,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,baseline,1,309,759,11,10,1,0,4,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.063937,0.193125,39,1586,174,10,1,94,False,,5,,,1,0,0.0,0.5813,0.0,2.522,4,0
pi_DeepSeek-V4-Pro_js-high-01_deep_thinking_r2_68ecd9,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,deep_thinking,2,1765,2859,6,6,0,0,0,['tmp/pi-prompt-benchmark/slot-03/src/fetchCache.js'],True,0.034033,0.045466,6,7312,1789,6,4,7092,False,,2,,,2,1,0.0,0.6614,0.0,0.41,3,0
claude-code_Kimi-K2.7-Code_py-low-01_baseline_r1_4f9c12,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,baseline,1,684,1176,7,6,1,0,1,['tmp/pi-prompt-benchmark/slot-cc-03/shop/discount.py'],True,0.028425,0.110432,15,3226,349,6,1,115,False,,2,,,1,0,0.0,0.5973,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r1_101e69,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,1,389,965,8,8,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.016139,0.016139,8,1365,261,8,5,1043,True,1,2,0,431,3,2,0.0741,0.561,0.0,0.0,0,0
claude-code_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r2_7c1800,pilot_b,claude-code,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,2,1185,3863,41,40,2,0,19,['tmp/pi-prompt-benchmark/slot-cc-04/shop/discount.py'],True,0.396699,0.515381,119,5048,0,40,4,749,False,,23,,,3,2,0.0,0.7348,0.0,3.962,20,0
claude-code_Inkling_py-low-01_no_questions_autonomy_r2_d2b442,pilot_b,claude-code,thinkingmachines/Inkling,py-low-01,no_questions_autonomy,2,189,534,8,7,1,0,2,['tmp/pi-prompt-benchmark/slot-cc-05/shop/discount.py'],True,0.053814,0.139975,25,885,239,7,1,0,False,,3,,,1,0,0.0,0.4893,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_deep_thinking_r3_62c2dc,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,deep_thinking,3,714,1382,8,7,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.018029,0.018029,8,1976,558,7,4,1446,True,1,1,0,690,3,2,0.037,0.5932,0.0,0.0,0,0
claude-code_Kimi-K2.7-Code_js-high-01_deep_thinking_r1_b534fb,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,js-high-01,deep_thinking,1,645,2609,11,10,0,0,3,['tmp/pi-prompt-benchmark/slot-cc-03/src/fetchCache.js'],True,0.051748,0.188524,24,3022,6626,10,8,3020,False,,6,,,2,1,0.3056,0.5585,0.0,0.0,0,0
